Name,Contract__r.Name,Product__r.StockKeepingUnit,Product__r.Family,Product__r.Product_description_in_Vietnamese__c,Product_Discription__c,Length__c,Width__c,Height__c,Quantity__c,Crates__c,m2__c,special_code,special_shape
Black Basalt U-Profile 1003010/3 (20),0121/X112,BX6.0DOC1-10030UT10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-Mặt đốt chải, các cạnh còn lại cưa, tất cả các cạnh vạt mép 2mm, đáy cắt 10/3","Black Basalt U-PROFILE
Surface flamed brush, all sides chamfered 2mm",100.0,30.0,10.0,300,15.0,90.0,U,Cắt chữ U (U-profile)
Black Basalt Left corner 100/703010/3,0522/X112,BX6.0DOC1-10030LC10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-Mặt và 2 cạnh dài đốt chải, các cạnh còn lại cưa, tất cả các cạnh vạt mép 2mm, cạnh trái cắt 100/70, đáy cắt 10/3","Black basalt Left corner
Top + front + back side flamed, other sawn cut, left corner cutting 45o like the picture",100.0,30.0,10.0,60,3.0,18.0,L,Cắt chữ L (L-shape)
Black Basalt Right corner 100/703010/3,0522/X112,BX6.1DOX1-10030RC10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-Mặt và 2 cạnh dài đốt chải, các cạnh còn lại cưa, tất cả các cạnh vạt mép 2mm, cạnh phải cắt 100/70, đáy cắt 10/3","Black basalt Right corner
Top + front + back side flamed, other sawn cut, right corner cutting 45o like the picture.",100.0,30.0,10.0,60,3.0,18.0,C,Cắt vòng cung (arc / rounded)
Black Basalt U-Profile 1003010/3 (20),0522/X112,BX6.0DOC1-10030UT10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-Mặt đốt chải, các cạnh còn lại cưa, tất cả các cạnh vạt mép 2mm, đáy cắt 10/3","Black Basalt U-PROFILE
Surface flamed brush, all sides chamfered 2mm",100.0,30.0,10.0,360,18.0,108.0,U,Cắt chữ U (U-profile)
Black Basalt Poolcovers 60306/3,0222/X112,BX6.1DOX1-060030U6/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Đá bo hồ bơi-Mặt đốt, cạnh cưa, vạt mép 2mm, đáy cắt 6/3 cạnh bo tròn R=3 và hone (như LSX 010322)","Black basalt Poolcovers
Top side flamed, bottom sawn, heads sawn, front edge 6cm honed and up and down chamfered - back edges (3cm) also honed and up and down chamfered 2mm.",60.0,30.0,6.0,104,2.0,18.72,U,Cắt chữ U (U-profile)
Black Basalt Poolcovers 60306/3,0222/X112,BX6.1DOX1-060030T6/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Đá bo hồ bơi-Mặt đốt, cạnh cưa, vạt mép 2mm, đáy cắt 6/3 cạnh bo tròn R=3 và hone, cạnh trái cắt góc 45o (như bản vẽ 2 đính kèm)","Black basalt Poolcovers
Top side flamed, bottom sawn, heads sawn, front edge 6cm honed and up and down chamfered - back edges (3cm) also honed and up and down chamfered 2mm, left corner cutting 45o (as drawing no.2)",60.0,30.0,6.0,26,,4.68,T,Hình trụ (cylinder)
Black Basalt Right corner 100/703010/3,0122/X112,BX6.1DOX1-10030RC10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-Mặt và 2 cạnh dài đốt chải, các cạnh còn lại cưa, tất cả các cạnh vạt mép 2mm, cạnh phải cắt 100/70, đáy cắt 10/3","Black basalt Right corner
Top + front + back side flamed, other sawn cut, right corner cutting 45o like the picture.",100.0,30.0,10.0,24,1.0,7.2,C,Cắt vòng cung (arc / rounded)
Black Basalt U-Profile 1003010/3 (20),0122/X112,BX6.0HON1-10030UT10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-Mặt honed, các cạnh còn lại cưa, tất cả các cạnh vạt mép 2mm, đáy cắt 10/3","Black Basalt U-PROFILE
3 sides honed, all side chamfered 2mm, straight",100.0,30.0,10.0,80,4.0,24.0,U,Cắt chữ U (U-profile)
Black Basalt Left corner 100/703010/3,0122/X112,BX6.0DOC1-10030LC10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-Mặt và 2 cạnh dài đốt chải, các cạnh còn lại cưa, tất cả các cạnh vạt mép 2mm, cạnh trái cắt 100/70, đáy cắt 10/3","Black basalt Left corner
Top + front + back side flamed, other sawn cut, left corner cutting 45o like the picture",100.0,30.0,10.0,24,1.0,7.2,L,Cắt chữ L (L-shape)
Absolute Black Basalt Wallcover 86224 (hình thang),05/A-X23.1/24 (bổ sung),BD2.2DOX3-0860C22040,"Pool surrounding,Window sill, covering","BAZAN ĐEN, Nắp tường rào-Mặt đốt xịt  nước, 2 cạnh ngắn cưa (1 cạnh ngắn được cắt như hình vẽ), 2 cạnh dài chẻ tay, 2 rãnh thoát nước dọc 2 cạnh dài, vạt mép cạnh dài.","Absolute Black Basalt Wallcover
Surface flamed, then water jet, then brushed, Both short sides sawn (1 side with angle like drawing), both long sides split and chamfered 
Drip groove on both long bottom sides",86.0,22.0,4.0,1,,0.19,C,Cắt vòng cung (arc / rounded)
