contract_product_name,contract_name,account_code,customer_regional_group,billing_country,stone_color_type,sku,application_code,application,application_vn,processing_code,processing_name,family,segment,created_date,fy_year,product_description,product_description_vn,length_cm,width_cm,height_cm,quantity,crates,m2,m3,ml,tons,sales_price,charge_unit,total_price_usd,price_m3,volume_m3,area_m2,specific_gravity,hs_coefficient
Black Basalt Poolcovers 60606/3,0124/X112,X11.2,Nhóm đầu 1,Netherlands,BX,BX6.1DOX1-060060O6/3,6.1,Pool surrounding,Đá ghép hồ bơi,DOX,Flamed Water,"Pool surrounding,Window sill, covering",Super premium,2024-03-28,2024.0,"Black basalt Poolcovers- Outher Corner
Top side flamed, bottom sawn, heads sawn, outher edge 6cm honed and up and down chamfered - back edges (3cm) also honed and up and down chamfered 2mm, Outher Corner- Drawing","BAZAN XÁM, Đá bo hồ bơi-Góc bên ngoài. Mặt đốt, cạnh cưa, vạt mép 2mm, đáy cắt 6/3 cạnh bên ngoài bo tròn R=3 và hone (như bản vẽ đính kèm)",60.0,60.0,6.0,20.0,1.0,7.2,0.43,12.0,1.17,39.2,USD/PC,784.0,1823.2558139534883,0.0216,0.36,2.7,1.0
Black Basalt Poolcovers 60606/3,0124/X112,X11.2,Nhóm đầu 1,Netherlands,BX,BX6.1DOX1-060060I6/3,6.1,Pool surrounding,Đá ghép hồ bơi,DOX,Flamed Water,"Pool surrounding,Window sill, covering",Super premium,2024-03-28,2024.0,"Black basalt Poolcovers -Inner Corner
Top side flamed, bottom sawn, heads sawn, inner edge 6cm honed and up and down chamfered - back edges (3cm) also honed and up and down chamfered 2mm, - Drawing","BAZAN XÁM, Đá bo hồ bơi-Góc bên trong. Mặt đốt, cạnh cưa, vạt mép 2mm, đáy cắt 6/3 cạnh trong bo tròn R=3 và hone (như bản vẽ đính kèm)",60.0,60.0,6.0,40.0,2.0,14.4,0.86,24.0,2.33,39.2,USD/PC,1568.0,1823.2558139534883,0.0216,0.36,2.7,1.0
Absolute Basalt Stair 1003515 (10),02/A-X269/24,X26,Nhóm đầu 2,Germany,BD,BD4.1CTA2-1000350150,4.1,Stair / Step (Block),Đá bậc thang nguyên khối,CTA,Split Handmade,STAIR,Premium,2024-03-27,2024.0,"Absolute Basalt Stairs Front side natural split, other sides flamed waterjet finished, beveled 3mm","BAZAN ĐEN, Bậc thang-Mặt trước chẻ tay tự nhiên, các cạnh còn lại đốt xịt nước, vạt mép cạnh dài 6mm, vạt mép cạnh ngắn 4mm.",100.0,35.0,15.0,20.0,2.0,7.0,1.05,20.0,3.1,54.43,USD/PC,1088.6,1036.7619047619046,0.0525,0.35,2.95,1.0
Absolute Basalt Palisade 150258 (14),02/A-X269/24,X26,Nhóm đầu 2,Germany,BD,BD3.1DOX0-1500250080,3.1,Palisades,Đá cây,DOX,Flamed Water,PALISADE,Premium,2024-03-27,2024.0,"Absolute Basalt Palisade  All sides flamed, waterjet finished and all edges beveled","BAZAN ĐEN, Đá cây-6 mặt đốt xịt nước, vạt mép 4mm.",150.0,25.0,8.0,126.0,9.0,47.25,3.78,189.0,11.15,30.5,USD/PC,3843.0,1016.6666666666667,0.03,0.375,2.95,1.0
Absolute Basalt Palisade 100258 (20),02/A-X269/24,X26,Nhóm đầu 2,Germany,BD,BD3.1DOX0-1000250080,3.1,Palisades,Đá cây,DOX,Flamed Water,PALISADE,Premium,2024-03-27,2024.0,Extreme Basalt Palisades All sides flamed + water jet finished All edge beveled,"BAZAN ĐEN, Đá cây-6 mặt đốt xịt nước, vạt mép cạnh dài 6mm, vạt mép cạnh ngắn 4mm.",100.0,25.0,8.0,120.0,6.0,30.0,2.4,120.0,7.08,20.0,USD/PC,2400.0,1000.0,0.02,0.25,2.95,1.0
Absolute Basalt Stair 1503515 (6),02/A-X269/24,X26,Nhóm đầu 2,Germany,BD,BD4.1CTA2-1500350150,4.1,Stair / Step (Block),Đá bậc thang nguyên khối,CTA,Split Handmade,STAIR,Premium,2024-03-27,2024.0,"Absolute Basalt Stairs Front side natural split, other sides flamed + brushed, beveled 3mm","BAZAN ĐEN, Bậc thang-Mặt trước chẻ tay tự nhiên, các cạnh còn lại đốt xịt nước, vạt mép cạnh dài 6mm, vạt mép cạnh ngắn 4mm.",150.0,35.0,15.0,12.0,2.0,6.3,0.95,18.0,2.79,81.19,USD/PC,974.28,1025.5578947368422,0.07875,0.525,2.95,1.0
Absolute Basalt Stair 1253515 (8),02/A-X269/24,X26,Nhóm đầu 2,Germany,BD,BD4.1CTA2-1250350150,4.1,Stair / Step (Block),Đá bậc thang nguyên khối,CTA,Split Handmade,STAIR,Premium,2024-03-27,2024.0,"Absolute Basalt Stairs Front side natural split, other sides flamed + water jet, beveled 3mm","BAZAN ĐEN, Bậc thang-Mặt trước chẻ tay tự nhiên, các cạnh còn lại đốt xịt nước, vạt mép cạnh dài 6mm, vạt mép cạnh ngắn 4mm.",125.0,35.0,15.0,16.0,2.0,7.0,1.05,20.0,3.1,69.14,USD/PC,1106.24,1053.5619047619048,0.065625,0.4375,2.95,1.0
Black Basalt Poolcovers 57.7306/3,0124/X112,X11.2,Nhóm đầu 1,Netherlands,BX,BX6.1DOX1-057730U6/3,6.1,Pool surrounding,Đá ghép hồ bơi,DOX,Flamed Water,"Pool surrounding,Window sill, covering",Economy,2024-03-25,2024.0,"Black basalt Poolcovers
Top side flamed, bottom sawn, heads sawn, front edge 6cm honed and up and down chamfered - back edges (3cm) also honed and up and down chamfered 2mm.","BAZAN XÁM, Đá bo hồ bơi-Mặt đốt, cạnh cưa, vạt mép 2mm, đáy cắt 6/3 cạnh bo tròn R=3 và hone (như LSX 010322)",577.0,30.0,6.0,12.0,1.0,20.77,1.25,69.24,3.37,21.42,USD/PC,257.04,205.632,0.10386,1.731,2.7,1.0
Black Basalt Stair 10035/3015,0124/X112,X11.2,Nhóm đầu 1,Netherlands,BX,BX4.1DOX1-100035L150,4.1,Stair / Step (Block),Đá bậc thang nguyên khối,DOX,Flamed Water,STAIR,Premium,2024-03-25,2024.0,"Black basalt Steps
Top face & 2 long edges flamed & brushed; with nose  in black basalt flamed , same as U profile .2 mm chamfered all around (Drawing No.3)","BAZAN XÁM, Bậc thang L-Mặt trên và 2 cạnh dài đốt chải, mũi L đốt, giống U profile, vạt mép tất cả cạnh 2mm (hình số 3).",100.0,35.0,15.0,16.0,1.0,5.6,0.84,16.0,2.27,63.0,USD/PC,1008.0,1200.0,0.0525,0.35,2.7,1.0
Black Basalt Tiles 100603,0124/X112,X11.2,Nhóm đầu 1,Netherlands,BX,BX7.2DOX1-1000600030,7.2,Tile / Paver,"Đá lát, cắt quy cách",DOX,Flamed Water,Interior_Tiles,Super premium,2024-03-25,2024.0,"BLACK BASALT Tiles  
5 side flamed, 2mm chamfered","BAZAN XÁM, Đá lát-5 mặt đốt chải, vạt mép 2mm",100.0,60.0,3.0,25.0,1.0,15.0,0.45,25.0,1.22,36.0,USD/PC,900.0,2000.0,0.018,0.6,2.7,1.0
